MonJun 1,2:30 AM,USD,,FOMC Member Powell Speaks,,,,,
,4:00 PM,USD,,ISM Manufacturing PMI,,,54,53.3,52.7
,,USD,,ISM Manufacturing Prices,,,82.1,85.3,84.6
TueJun 2,4:00 PM,USD,,JOLTS Job Openings,,,7.62M,6.87M,6.89M
WedJun 3,2:15 PM,USD,,ADP Non-Farm Employment Change,,,122K,118K,105K
,4:00 PM,USD,,ISM Services PMI,,,54.5,53.7,53.6
,,USD,,Treasury Sec Bessent Speaks,,,,,
ThuJun 4,2:30 PM,USD,,Unemployment Claims,,,225K,214K,212K
,4:00 PM,USD,,Treasury Sec Bessent Speaks,,,,,
,9:00 PM,USD,,President Trump Speaks,,,,,
FriJun 5,2:30 PM,USD,,Average Hourly Earnings m/m,,,0.30%,0.30%,0.20%
,,USD,,Non-Farm Employment Change,,,172K,85K,179K
,,USD,,Unemployment Rate,,,4.30%,4.30%,4.30%
WedJun 10,2:30 PM,USD,,Core CPI m/m,,,0.20%,0.30%,0.40%
,,USD,,Core CPI y/y,,,2.90%,2.90%,2.80%
,,USD,,CPI m/m,,,0.50%,0.50%,0.60%
,,USD,,CPI y/y,,,4.20%,4.20%,3.80%
ThuJun 11,2:30 PM,USD,,Core PPI m/m,,,0.40%,0.50%,0.70%
,,USD,,PPI m/m,,,1.10%,0.70%,1.10%
,,USD,,Unemployment Claims,,,229K,220K,225K
FriJun 12,4:00 PM,USD,,Prelim UoM Consumer Sentiment,,,48.9,46.1,44.8
,,USD,,Prelim UoM Inflation Expectations,,,4.60%,,4.80%
WedJun 17,2:30 PM,USD,,Core Retail Sales m/m,,,0.80%,0.60%,0.70%
,,USD,,Retail Sales m/m,,,0.90%,0.50%,0.40%
,4:45 PM,USD,,President Trump Speaks,,,,,
,8:00 PM,USD,,Federal Funds Rate,,,3.75%,3.75%,3.75%
,,USD,,FOMC Economic Projections,,,,,
,,USD,,FOMC Statement,,,,,
,8:30 PM,USD,,FOMC Press Conference,,,,,
ThuJun 18,2:30 PM,USD,,Philly Fed Manufacturing Index,,,10.3,9.8,-0.4
,,USD,,Unemployment Claims,,,226K,225K,230K
FriJun 19,All Day,USD,,Bank Holiday,,,,,
MonJun 22,,,,,,,,,
TueJun 23,3:45 PM,USD,,Flash Manufacturing PMI,,,55.7,54.6,55.1
,,USD,,Flash Services PMI,,,51.3,51.1,50.7
,8:05 PM,USD,,President Trump Speaks,,,,,
WedJun 24,,,,,,,,,
ThuJun 25,2:30 AM,USD,,President Trump Speaks,,,,,
,2:30 PM,USD,,Core PCE Price Index m/m,,,0.30%,0.30%,0.30%
,,USD,,Final GDP q/q,,,2.10%,1.60%,1.60%
,,USD,,Final GDP Price Index q/q,,,3.60%,3.50%,3.50%
,,USD,,Unemployment Claims,,,215K,225K,227K
FriJun 26,4:00 PM,USD,,Revised UoM Consumer Sentiment,,,49.5,50,48.9
,,USD,,Revised UoM Inflation Expectations,,,4.60%,,4.60%
,7:30 PM,USD,,President Trump Speaks,,,,,
