Africa/Johannesburg,Open,High,Low,Close,Volume
2026-09-22T02:10:00+02:00,96.713,96.785,96.711,96.712,30
2026-09-22T02:11:00+02:00,96.712,96.78,96.711,96.775,21
2026-09-22T02:12:00+02:00,96.773,96.791,96.773,96.786,15
2026-09-22T02:13:00+02:00,96.786,96.799,96.776,96.783,19
2026-09-22T02:14:00+02:00,96.783,96.799,96.783,96.797,14
2026-09-22T02:15:00+02:00,96.797,96.848,96.793,96.838,27
2026-09-22T02:16:00+02:00,96.835,96.887,96.819,96.884,32
2026-09-22T02:17:00+02:00,96.883,96.92,96.875,96.92,27
2026-09-22T02:18:00+02:00,96.918,96.962,96.896,96.911,43
2026-09-22T02:19:00+02:00,96.915,96.935,96.893,96.925,30
2026-09-22T02:20:00+02:00,96.925,96.99,96.925,96.961,27
2026-09-22T02:21:00+02:00,96.967,97.018,96.96,96.999,33
2026-09-22T02:22:00+02:00,96.999,97.008,96.977,96.997,35
2026-09-22T02:23:00+02:00,96.996,97.007,96.979,96.996,29
2026-09-22T02:24:00+02:00,96.995,96.995,96.958,96.964,29
2026-09-22T02:25:00+02:00,96.965,96.977,96.96,96.961,24
2026-09-22T02:26:00+02:00,96.96,97.001,96.958,96.986,22
2026-09-22T02:27:00+02:00,96.986,96.986,96.946,96.96,14
2026-09-22T02:28:00+02:00,96.955,96.972,96.946,96.972,18
2026-09-22T02:29:00+02:00,96.98,96.995,96.955,96.985,30
2026-09-22T02:30:00+02:00,96.981,97.01,96.959,96.959,40
2026-09-22T02:31:00+02:00,96.963,97.027,96.963,96.978,31
2026-09-22T02:32:00+02:00,96.982,97.007,96.982,96.993,19
2026-09-22T02:33:00+02:00,96.988,97.048,96.983,97.042,23
2026-09-22T02:34:00+02:00,97.036,97.048,97.02,97.034,36
2026-09-22T02:35:00+02:00,97.038,97.048,97.031,97.047,21
2026-09-22T02:36:00+02:00,97.049,97.115,97.048,97.079,47
2026-09-22T02:37:00+02:00,97.079,97.169,97.079,97.119,42
2026-09-22T02:38:00+02:00,97.119,97.132,97.076,97.079,29
2026-09-22T02:39:00+02:00,97.083,97.107,97.068,97.07,23
2026-09-22T02:40:00+02:00,97.072,97.083,97.047,97.066,33
