Africa/Johannesburg,Open,High,Low,Close,Volume
2026-09-08T00:00:00+02:00,7711.65,7712.9,7709.4,7711.15,275
2026-09-08T00:05:00+02:00,7711.39,7711.66,7709.14,7711.15,199
2026-09-08T00:10:00+02:00,7710.9,7711.66,7710.4,7710.4,87
2026-09-08T00:15:00+02:00,7710.4,7710.91,7709.4,7709.4,95
2026-09-08T00:20:00+02:00,7709.66,7709.91,7708.9,7708.9,83
2026-09-08T00:25:00+02:00,7708.91,7708.91,7707.4,7707.9,109
2026-09-08T00:30:00+02:00,7707.91,7707.91,7705.4,7705.66,111
2026-09-08T00:35:00+02:00,7705.66,7705.91,7704.4,7705.91,106
2026-09-08T00:40:00+02:00,7705.9,7707.16,7705.65,7706.65,100
2026-09-08T00:45:00+02:00,7706.91,7707.16,7705.4,7706.4,113
2026-09-08T00:50:00+02:00,7706.4,7706.66,7705.4,7706.66,64
2026-09-08T00:55:00+02:00,7706.65,7707.66,7706.39,7706.64,74
2026-09-08T01:00:00+02:00,7706.64,7707.41,7705.9,7705.9,90
2026-09-08T01:05:00+02:00,7705.91,7706.16,7704.9,7705.91,58
2026-09-08T01:10:00+02:00,7705.9,7706.16,7705.4,7705.66,52
2026-09-08T01:15:00+02:00,7705.66,7705.91,7700.52,7703.3,304
2026-09-08T01:20:00+02:00,7703.3,7705.3,7703.29,7704.8,163
2026-09-08T01:25:00+02:00,7704.54,7705.8,7704.04,7705.3,102
2026-09-08T01:30:00+02:00,7705.3,7705.56,7703.79,7705.56,76
2026-09-08T01:35:00+02:00,7705.55,7709.91,7705.55,7708.64,196
2026-09-08T01:40:00+02:00,7708.65,7711.66,7708.14,7711.66,123
2026-09-08T01:45:00+02:00,7711.66,7714.9,7710.9,7714.39,251
2026-09-08T01:50:00+02:00,7714.65,7714.65,7712.15,7713.39,173
2026-09-08T01:55:00+02:00,7713.39,7714.41,7712.4,7714.15,172
2026-09-08T02:00:00+02:00,7714.41,7716.66,7712.89,7714.66,703
2026-09-08T02:05:00+02:00,7714.4,7715.16,7711.4,7714.15,373
2026-09-08T02:10:00+02:00,7713.89,7714.16,7711.4,7712.16,277
2026-09-08T02:15:00+02:00,7712.16,7712.41,7708.9,7711.15,408
2026-09-08T02:20:00+02:00,7711.41,7712.16,7706.4,7707.66,352
2026-09-08T02:25:00+02:00,7707.4,7712.66,7706.65,7712.4,354
2026-09-08T02:30:00+02:00,7712.66,7714.66,7711.65,7714.65,267
2026-09-08T02:35:00+02:00,7714.65,7715.16,7713.65,7714.65,153
2026-09-08T02:40:00+02:00,7714.65,7714.91,7712.65,7713.66,147
2026-09-08T02:45:00+02:00,7713.4,7713.91,7712.9,7713.41,141
2026-09-08T02:50:00+02:00,7713.4,7714.66,7713.4,7714.4,138
2026-09-08T02:55:00+02:00,7714.4,7714.66,7712.65,7712.9,125
2026-09-08T03:00:00+02:00,7712.91,7713.66,7707.15,7708.14,405
2026-09-08T03:05:00+02:00,7707.89,7712.65,7705.64,7712.65,388
2026-09-08T03:10:00+02:00,7712.65,7713.16,7711.14,7713.16,257
2026-09-08T03:15:00+02:00,7712.9,7713.41,7711.39,7713.41,222
2026-09-08T03:20:00+02:00,7713.66,7715.41,7713.15,7714.65,172
2026-09-08T03:25:00+02:00,7714.65,7715.15,7713.64,7714.66,129
2026-09-08T03:30:00+02:00,7714.66,7716.91,7713.65,7716.14,252
2026-09-08T03:35:00+02:00,7716.14,7719.65,7715.89,7718.14,217
2026-09-08T03:40:00+02:00,7718.4,7718.9,7717.64,7717.89,165
2026-09-08T03:45:00+02:00,7717.89,7719.66,7717.39,7719.64,126
2026-09-08T03:50:00+02:00,7719.64,7721.66,7719.14,7721.4,161
2026-09-08T03:55:00+02:00,7721.4,7722.66,7721.4,7722.4,133
2026-09-08T04:00:00+02:00,7722.4,7723.16,7720.4,7720.4,167
2026-09-08T04:05:00+02:00,7720.66,7720.91,7719.65,7719.91,172
2026-09-08T04:10:00+02:00,7719.91,7721.41,7719.65,7720.39,201
2026-09-08T04:15:00+02:00,7720.65,7721.65,7720.39,7720.64,119
2026-09-08T04:20:00+02:00,7720.64,7722.91,7720.39,7721.9,115
2026-09-08T04:25:00+02:00,7721.9,7721.91,7720.89,7720.89,120
2026-09-08T04:30:00+02:00,7721.15,7721.4,7720.14,7720.66,126
2026-09-08T04:35:00+02:00,7720.66,7721.66,7720.15,7721.41,111
2026-09-08T04:40:00+02:00,7721.41,7721.41,7719.4,7719.4,81
2026-09-08T04:45:00+02:00,7719.66,7720.16,7719.4,7719.65,94
2026-09-08T04:50:00+02:00,7719.65,7719.91,7715.66,7715.66,73
2026-09-08T04:55:00+02:00,7715.66,7716.41,7714.65,7714.91,185
2026-09-08T05:00:00+02:00,7715.16,7716.91,7714.9,7715.91,159
2026-09-08T05:05:00+02:00,7715.91,7718.91,7715.65,7718.65,122
