Africa/Johannesburg,Open,High,Low,Close,Volume
2026-07-24T00:00:00+02:00,163.782,163.838,163.782,163.826,80
2026-07-24T00:05:00+02:00,163.826,163.829,163.804,163.823,34
2026-07-24T00:10:00+02:00,163.828,163.839,163.818,163.824,36
2026-07-24T00:15:00+02:00,163.824,163.834,163.824,163.832,24
2026-07-24T00:20:00+02:00,163.832,163.834,163.824,163.829,40
2026-07-24T00:25:00+02:00,163.829,163.841,163.826,163.84,28
2026-07-24T00:30:00+02:00,163.84,163.847,163.836,163.841,32
2026-07-24T00:35:00+02:00,163.841,163.842,163.816,163.826,50
2026-07-24T00:40:00+02:00,163.827,163.828,163.82,163.828,26
2026-07-24T00:45:00+02:00,163.828,163.836,163.808,163.816,26
2026-07-24T00:50:00+02:00,163.816,163.842,163.796,163.842,53
2026-07-24T00:55:00+02:00,163.837,163.843,163.836,163.842,24
2026-07-24T01:00:00+02:00,163.842,163.844,163.838,163.843,40
2026-07-24T01:05:00+02:00,163.843,163.846,163.843,163.843,22
2026-07-24T01:10:00+02:00,163.843,163.845,163.831,163.832,34
2026-07-24T01:15:00+02:00,163.832,163.832,163.823,163.827,35
2026-07-24T01:20:00+02:00,163.827,163.828,163.824,163.826,26
2026-07-24T01:25:00+02:00,163.826,163.826,163.811,163.814,50
2026-07-24T01:30:00+02:00,163.815,163.818,163.8,163.81,46
2026-07-24T01:35:00+02:00,163.81,163.827,163.81,163.825,28
2026-07-24T01:40:00+02:00,163.825,163.832,163.823,163.828,55
2026-07-24T01:45:00+02:00,163.828,163.839,163.823,163.837,82
2026-07-24T01:50:00+02:00,163.835,163.865,163.831,163.865,75
2026-07-24T01:55:00+02:00,163.864,163.864,163.838,163.838,139
2026-07-24T02:00:00+02:00,163.838,163.903,163.829,163.849,288
2026-07-24T02:05:00+02:00,163.849,163.894,163.79,163.848,311
2026-07-24T02:10:00+02:00,163.848,163.855,163.817,163.848,203
2026-07-24T02:15:00+02:00,163.847,163.886,163.841,163.846,233
2026-07-24T02:20:00+02:00,163.846,163.862,163.826,163.832,143
2026-07-24T02:25:00+02:00,163.833,163.866,163.833,163.857,162
2026-07-24T02:30:00+02:00,163.855,163.867,163.838,163.859,156
2026-07-24T02:35:00+02:00,163.859,163.877,163.847,163.876,114
2026-07-24T02:40:00+02:00,163.876,163.921,163.876,163.918,107
2026-07-24T02:45:00+02:00,163.918,163.921,163.888,163.902,168
2026-07-24T02:50:00+02:00,163.902,163.933,163.869,163.925,320
2026-07-24T02:55:00+02:00,163.928,163.93,163.813,163.814,373
2026-07-24T03:00:00+02:00,163.811,163.847,163.802,163.844,250
2026-07-24T03:05:00+02:00,163.845,163.852,163.811,163.827,165
2026-07-24T03:10:00+02:00,163.827,163.858,163.825,163.843,101
2026-07-24T03:15:00+02:00,163.843,163.849,163.775,163.806,268
2026-07-24T03:20:00+02:00,163.807,163.82,163.789,163.802,214
2026-07-24T03:25:00+02:00,163.802,163.841,163.802,163.841,190
2026-07-24T03:30:00+02:00,163.841,163.843,163.77,163.778,199
2026-07-24T03:35:00+02:00,163.78,163.795,163.744,163.766,209
2026-07-24T03:40:00+02:00,163.766,163.766,163.72,163.731,231
2026-07-24T03:45:00+02:00,163.733,163.765,163.733,163.757,137
2026-07-24T03:50:00+02:00,163.757,163.767,163.748,163.756,135
2026-07-24T03:55:00+02:00,163.756,163.779,163.755,163.773,100
2026-07-24T04:00:00+02:00,163.776,163.786,163.759,163.771,167
2026-07-24T04:05:00+02:00,163.771,163.804,163.764,163.786,131
2026-07-24T04:10:00+02:00,163.786,163.789,163.763,163.77,138
2026-07-24T04:15:00+02:00,163.771,163.781,163.769,163.773,108
2026-07-24T04:20:00+02:00,163.774,163.776,163.745,163.77,136
2026-07-24T04:25:00+02:00,163.77,163.78,163.762,163.775,114
2026-07-24T04:30:00+02:00,163.774,163.778,163.724,163.737,140
2026-07-24T04:35:00+02:00,163.737,163.761,163.731,163.752,108
2026-07-24T04:40:00+02:00,163.752,163.762,163.744,163.762,99
2026-07-24T04:45:00+02:00,163.764,163.779,163.75,163.766,141
2026-07-24T04:50:00+02:00,163.766,163.78,163.757,163.779,119
2026-07-24T04:55:00+02:00,163.779,163.78,163.764,163.774,92
2026-07-24T05:00:00+02:00,163.774,163.791,163.766,163.789,100
2026-07-24T05:05:00+02:00,163.79,163.793,163.776,163.793,87
2026-07-24T05:10:00+02:00,163.795,163.822,163.793,163.817,116
2026-07-24T05:15:00+02:00,163.817,163.825,163.812,163.818,98
2026-07-24T05:20:00+02:00,163.818,163.852,163.817,163.85,84
2026-07-24T05:25:00+02:00,163.849,163.865,163.843,163.853,85
2026-07-24T05:30:00+02:00,163.853,163.856,163.823,163.827,113
2026-07-24T05:35:00+02:00,163.827,163.83,163.815,163.83,88
2026-07-24T05:40:00+02:00,163.83,163.83,163.805,163.815,78
2026-07-24T05:45:00+02:00,163.814,163.824,163.812,163.815,76
2026-07-24T05:50:00+02:00,163.815,163.815,163.798,163.804,98
2026-07-24T05:55:00+02:00,163.804,163.816,163.788,163.798,95
2026-07-24T06:00:00+02:00,163.798,163.815,163.798,163.806,92
2026-07-24T06:05:00+02:00,163.806,163.809,163.797,163.8,124
2026-07-24T06:10:00+02:00,163.8,163.806,163.779,163.806,136
2026-07-24T06:15:00+02:00,163.806,163.818,163.806,163.811,74
2026-07-24T06:20:00+02:00,163.811,163.828,163.81,163.826,97
2026-07-24T06:25:00+02:00,163.825,163.833,163.817,163.829,95
2026-07-24T06:30:00+02:00,163.829,163.84,163.821,163.822,82
2026-07-24T06:35:00+02:00,163.822,163.823,163.811,163.813,71
2026-07-24T06:40:00+02:00,163.814,163.829,163.812,163.828,65
2026-07-24T06:45:00+02:00,163.827,163.838,163.824,163.837,91
2026-07-24T06:50:00+02:00,163.837,163.844,163.831,163.837,76
2026-07-24T06:55:00+02:00,163.836,163.838,163.822,163.823,47
2026-07-24T07:00:00+02:00,163.822,163.828,163.822,163.827,25
2026-07-24T07:05:00+02:00,163.827,163.827,163.802,163.804,35
